答案1：  51
答案2：  8257/97
答案3：  18/7
答案4：  -247/4
答案5：  477/50
答案6：  345/8
答案7：  62
答案8：  8575/99
答案9：  5/4
答案10：  9149/93
答案11：  1936/47
答案12：  120
答案13：  2230/23
答案14：  1700
答案15：  8
答案16：  3/2
答案17：  94
答案18：  -14
答案19：  804/1045
答案20：  25/4
答案21：  28/23
答案22：  33/4
答案23：  31
答案24：  -4656/47
答案25：  2448
答案26：  377/16
答案27：  55/606
答案28：  -4148/71
答案29：  1/3
答案30：  304
答案31：  2976/49
答案32：  -2643/83
答案33：  31/9
答案34：  -797/8536
答案35：  2
答案36：  350/29
答案37：  3803/50
答案38：  1/10
答案39：  1768/31
答案40：  287/352
答案41：  -20
答案42：  644/71
答案43：  271/4
答案44：  7
答案45：  164
答案46：  1209/19
答案47：  3817/91
答案48：  1
答案49：  57/4
答案50：  2295/2668
答案51：  5181/92
答案52：  42
答案53：  1252/19
答案54：  847/81
答案55：  -475/8
答案56：  70
答案57：  -1954/41
答案58：  2
答案59：  1482/31
答案60：  1815/41
答案61：  50
答案62：  5989/5115
答案63：  2747/38
答案64：  2279/46
答案65：  10
答案66：  -2439/97
答案67：  7/13
答案68：  13
答案69：  7
答案70：  1
答案71：  52/37
答案72：  -283/38
答案73：  16/13
答案74：  7985/86
答案75：  1235/42
答案76：  517/630
答案77：  1069/50
答案78：  6
答案79：  4687/4453
答案80：  4/13
答案81：  1
答案82：  276
答案83：  9502/97
答案84：  71
答案85：  78
答案86：  9392/97
答案87：  2160/49
答案88：  1/24
答案89：  134/69
答案90：  45/23
答案91：  9
答案92：  7456/6045
答案93：  11/56
答案94：  13/36
答案95：  -568/3417
答案96：  1729/2020
答案97：  2379/32
答案98：  9463/7138
答案99：  171
答案100：  -664/13
答案101：  2584/2121
答案102：  33
答案103：  76
答案104：  3988/47
答案105：  2619/58
答案106：  40
答案107：  466/33
答案108：  2/53
答案109：  4594/49
答案110：  1879/1702
答案111：  1680
答案112：  1/101
答案113：  1/69
答案114：  2033/99
答案115：  880/1131
答案116：  1034/97
答案117：  24/385
答案118：  86/89
答案119：  -34
答案120：  12/65
答案121：  8500/10201
答案122：  65/38
答案123：  49
答案124：  2867/49
答案125：  -4166/75
答案126：  50
答案127：  12/17
答案128：  6370
答案129：  432/85
答案130：  79
答案131：  1398/37
答案132：  6
答案133：  3455/47
答案134：  966/101
答案135：  55/29
答案136：  2067/1175
答案137：  14971/8148
答案138：  -195/4
答案139：  11/288
答案140：  6137/67
答案141：  39
答案142：  3/65
答案143：  14
答案144：  3382
答案145：  2
答案146：  5538/95
答案147：  342
答案148：  8497/94
答案149：  1469/34
答案150：  18/25
答案151：  1/3
答案152：  1243/15
答案153：  9647/98
答案154：  805/48
答案155：  1709/2300
答案156：  6232/87
答案157：  11/4
答案158：  918/55
答案159：  774/49
答案160：  67/2
答案161：  -2761/54
答案162：  241/9
答案163：  10
答案164：  -66
答案165：  43/27
答案166：  492/19
答案167：  -41
答案168：  11/19
答案169：  1098
答案170：  61
答案171：  3319/48
答案172：  2/77
答案173：  34/3
答案174：  -4678/77
答案175：  13/49
答案176：  3/5
答案177：  3/101
答案178：  273/94
答案179：  -54
答案180：  167
答案181：  2617/30
答案182：  124
答案183：  -5
答案184：  3/23
答案185：  83/2
答案186：  16/17
答案187：  37/34
答案188：  -13
答案189：  288
答案190：  50
答案191：  38/5
答案192：  -5098/91
答案193：  7199/95
答案194：  4512/5555
答案195：  82
答案196：  363/680
答案197：  792/2929
答案198：  68
答案199：  1/93
答案200：  41/50
答案201：  2840/101
答案202：  47/3
答案203：  9294/101
答案204：  2212/33
答案205：  1370/5251
答案206：  88/3
答案207：  924
答案208：  -61
答案209：  1/17
答案210：  76/89
答案211：  1487/35
答案212：  29/2
答案213：  7/101
答案214：  -117/6262
答案215：  2111/32
答案216：  1464/2323
答案217：  384/2125
答案218：  6119/66
答案219：  2
答案220：  387/97
答案221：  49
答案222：  29/6
答案223：  401/560
答案224：  17/5
答案225：  2059/2480
答案226：  3770
答案227：  1439/16
答案228：  1204/87
答案229：  11177/6510
答案230：  10/27
答案231：  41
答案232：  8729/97
答案233：  -18
答案234：  3338/73
答案235：  1
答案236：  3
答案237：  9/8
答案238：  36
答案239：  56
答案240：  7877/4300
答案241：  155
答案242：  65/7
答案243：  162
答案244：  17
答案245：  42
答案246：  3
答案247：  4424
答案248：  3019/39
答案249：  4503/68
答案250：  54
答案251：  561/14
答案252：  17
答案253：  420/41
答案254：  550
答案255：  253/75
答案256：  1009/77
答案257：  -72/871
答案258：  12/31
答案259：  2580/89
答案260：  1848
答案261：  9
答案262：  -504/59
答案263：  19
答案264：  3947/77
答案265：  -3803/7505
答案266：  11029/8181
答案267：  1415/5994
答案268：  6
答案269：  -587/6
答案270：  23/5
答案271：  8/5
答案272：  49
答案273：  133
答案274：  -34
答案275：  77
答案276：  4606/93
答案277：  -18
答案278：  2893/96
答案279：  916/2075
答案280：  7/156
答案281：  1872/7921
答案282：  110
答案283：  4559/92
答案284：  3253/101
答案285：  -2124/23
答案286：  5
答案287：  4536/5335
答案288：  -1115/3479
答案289：  1229/44
答案290：  -3164/51
答案291：  -225/8
答案292：  3
答案293：  175/2
答案294：  8
答案295：  -1319/2700
答案296：  -3667/61
答案297：  304/33
答案298：  61
答案299：  954/23
答案300：  423/97
答案301：  2666
答案302：  91/500
答案303：  41/2
答案304：  1747/48
答案305：  5
答案306：  65/11
答案307：  8330
答案308：  1640/33
答案309：  -76
答案310：  924/17
答案311：  -52/81
答案312：  2379/2350
答案313：  13/3
答案314：  4
答案315：  13/25
答案316：  82/129
答案317：  3116
答案318：  826/99
答案319：  5
答案320：  63
答案321：  -190/3283
答案322：  158/1079
答案323：  21/5
答案324：  658/13
答案325：  168
答案326：  77/3
答案327：  20/27
答案328：  7
答案329：  3821/98
答案330：  -1274/3201
答案331：  -1007/2277
答案332：  4/79
答案333：  -11/80
答案334：  3204/3577
答案335：  42
答案336：  1325/52
答案337：  849/1106
答案338：  4
答案339：  5/24
答案340：  3/5
答案341：  523/24
答案342：  5/93
答案343：  6138
答案344：  4219/8134
答案345：  671
答案346：  3/73
答案347：  4893/89
答案348：  2/49
答案349：  523/12
答案350：  111
答案351：  138
答案352：  1137/28
答案353：  9384/101
答案354：  83/2788
答案355：  1911/2375
答案356：  5/99
答案357：  356/11
答案358：  731/29
答案359：  512/435
答案360：  775
答案361：  4032/89
答案362：  2149/34
答案363：  241/20
答案364：  67/26
答案365：  6660/83
答案366：  1179/68
答案367：  7491/4505
答案368：  273/25
答案369：  3349/4462
答案370：  4675/7533
答案371：  1309/78
答案372：  55/13
答案373：  15/19
答案374：  -700/87
答案375：  504/25
答案376：  215/1088
答案377：  9952/99
答案378：  -955/7878
答案379：  2
答案380：  67/2
答案381：  5927/99
答案382：  -41
