题目1：  29 + 85
题目2：  4/17 + 11/26
题目3：  78 ÷ 39
题目4：  94/97 - 1/16
题目5：  69 + 86
题目6：  62/79 + 94
题目7：  21 ÷ 21
题目8：  3/7 × 78
题目9：  25 ÷ 1/4
题目10：  100 ÷ 1/2
题目11：  21/41 - 81/86
题目12：  20 + 37
题目13：  15/19 × 86/89
题目14：  53/69 - 70/99
题目15：  35/61 × 20
题目16：  2/3 × 62
题目17：  93 ÷ 93
题目18：  25 ÷ 1
题目19：  18/29 - 49/50
题目20：  95 - 70
题目21：  98 ÷ 7/92
题目22：  80 - 97/101
题目23：  51 × 75
题目24：  48/55 + 21/22
题目25：  57/98 × 63
题目26：  48 ÷ 12/43
题目27：  86 - 22
题目28：  19/100 + 62
题目29：  52/73 × 60
题目30：  13/60 + 86
题目31：  5 + 70
题目32：  37 - 60/97
题目33：  17/37 × 40/43
题目34：  71/78 + 1
题目35：  5/79 + 46/47
题目36：  79/97 + 86
题目37：  3 + 58
题目38：  21 ÷ 3/58
题目39：  65/96 - 76/79
题目40：  12/13 + 97/99
题目41：  95/97 + 15
题目42：  1/2 × 95
题目43：  14/61 × 23/48
题目44：  56 - 65
题目45：  31 - 57
题目46：  1 + 42
题目47：  17/73 + 48/49
题目48：  64/67 × 96
题目49：  13/14 + 78
题目50：  96 - 86/93
题目51：  11/83 + 59/87
题目52：  3/8 ÷ 1/8
题目53：  38/39 + 81
题目54：  35/52 - 87
题目55：  35/37 × 69
题目56：  47/96 + 89
题目57：  22 ÷ 2/23
题目58：  91/96 - 44/79
题目59：  41 ÷ 1/73
题目60：  14 - 9/14
题目61：  85 - 9
题目62：  33 × 39
题目63：  67/78 × 22/25
题目64：  1/25 - 12/17
题目65：  37 ÷ 37/66
题目66：  1/43 × 29/30
题目67：  40 × 51
题目68：  51/70 + 11
题目69：  33/50 - 7/17
题目70：  64 × 89
题目71：  25/43 × 60
题目72：  14/89 × 10
题目73：  24 - 8/19
题目74：  24 ÷ 24
题目75：  14 - 5
题目76：  2 - 1
题目77：  4/7 - 3/4
